Theme,Palette Name,Color Index,R,G,B
cool,Arctic Ice,0,0.8000,0.9000,1.0000
cool,Arctic Ice,1,0.7000,0.8500,0.9500
cool,Arctic Ice,2,0.6000,0.8000,0.9000
cool,Arctic Ice,3,0.5000,0.7000,0.8500
cool,Arctic Ice,4,0.4000,0.6000,0.8000
cool,Arctic Ice,5,0.3000,0.5000,0.7500
cool,Arctic Ice,6,0.2000,0.4000,0.7000
cool,Arctic Ice,7,0.1500,0.3000,0.6000
cool,Arctic Ice,8,0.1000,0.2000,0.5000
cool,Arctic Ice,9,0.0500,0.1500,0.4000
cool,Arctic Ice,10,0.0200,0.1000,0.3000
cool,Arctic Ice,11,0.0000,0.0500,0.2000
cool,Arctic Ice Cavern,0,0.1500,0.2500,0.8000
cool,Arctic Ice Cavern,1,0.2000,0.4500,0.9000
cool,Arctic Ice Cavern,2,0.1500,0.6500,1.0000
cool,Arctic Ice Cavern,3,0.8500,0.9000,1.0000
cool,Arctic Ice Cavern,4,0.2500,0.7500,0.8500
cool,Arctic Ice Cavern,5,0.3000,0.5500,0.8500
cool,Arctic Ice Cavern,6,0.1000,0.1500,0.4500
cool,Arctic Ice Cavern,7,0.4500,0.3000,0.8000
cool,Arctic Ice Cavern,8,0.7000,0.7500,0.9000
cool,Arctic Ice Cavern,9,0.1500,0.5000,0.9000
cool,Arctic Ice Cavern,10,0.7500,0.8500,0.9500
cool,Arctic Ice Cavern,11,0.0500,0.1500,0.3500
cool,Aurora Sky,0,0.0000,0.0500,0.1000
cool,Aurora Sky,1,0.1000,0.3000,0.2000
cool,Aurora Sky,2,0.2000,0.6000,0.4000
cool,Aurora Sky,3,0.4000,0.8000,0.6000
cool,Aurora Sky,4,0.3000,0.4000,0.9000
cool,Aurora Sky,5,0.5000,0.2000,0.8000
cool,Aurora Sky,6,0.7000,0.1000,0.6000
cool,Aurora Sky,7,0.1500,0.5000,0.7000
cool,Aurora Sky,8,0.0500,0.2000,0.5000
cool,Aurora Sky,9,0.6000,0.7000,0.9500
cool,Aurora Sky,10,0.2000,0.0000,0.3000
cool,Aurora Sky,11,0.4000,0.5000,0.7000
cool,Blueberry Night,0,0.1000,0.1000,0.4000
cool,Blueberry Night,1,0.1500,0.1500,0.5000
cool,Blueberry Night,2,0.2000,0.2000,0.6000
cool,Blueberry Night,3,0.3000,0.2500,0.7000
cool,Blueberry Night,4,0.4000,0.3000,0.8000
cool,Blueberry Night,5,0.0500,0.0500,0.2000
cool,Blueberry Night,6,0.0200,0.0200,0.1000
cool,Blueberry Night,7,0.6000,0.6000,0.8500
cool,Blueberry Night,8,0.7000,0.7000,0.9000
cool,Blueberry Night,9,0.2500,0.3500,0.6500
cool,Blueberry Night,10,0.1000,0.0000,0.2000
cool,Blueberry Night,11,0.5000,0.5000,0.8000
cool,Deep Ocean Blues,0,0.0000,0.0200,0.1000
cool,Deep Ocean Blues,1,0.0000,0.0500,0.2000
cool,Deep Ocean Blues,2,0.0500,0.1000,0.3000
cool,Deep Ocean Blues,3,0.1000,0.2000,0.4000
cool,Deep Ocean Blues,4,0.1500,0.3000,0.5000
cool,Deep Ocean Blues,5,0.2000,0.4000,0.6000
cool,Deep Ocean Blues,6,0.3000,0.5000,0.7000
cool,Deep Ocean Blues,7,0.4000,0.6000,0.8000
cool,Deep Ocean Blues,8,0.2500,0.4500,0.7000
cool,Deep Ocean Blues,9,0.1000,0.1500,0.3500
cool,Deep Ocean Blues,10,0.0800,0.0800,0.2500
cool,Deep Ocean Blues,11,0.0200,0.0100,0.1500
cool,Deep Sea Abyss,0,0.0100,0.0200,0.0500
cool,Deep Sea Abyss,1,0.0500,0.1000,0.3000
cool,Deep Sea Abyss,2,0.1000,0.3000,0.4000
cool,Deep Sea Abyss,3,0.2000,0.4000,0.3500
cool,Deep Sea Abyss,4,0.3000,0.7000,0.9000
cool,Deep Sea Abyss,5,0.7000,0.5000,0.1000
cool,Deep Sea Abyss,6,0.8000,0.4000,0.5000
cool,Deep Sea Abyss,7,0.3000,0.3500,0.4000
cool,Deep Sea Abyss,8,0.2000,0.1500,0.3500
cool,Deep Sea Abyss,9,0.6000,0.5500,0.4000
cool,Deep Sea Abyss,10,0.0100,0.0200,0.0500
cool,Deep Sea Abyss,11,0.0500,0.1000,0.3000
cool,Emerald Lagoon,0,0.0500,0.3000,0.3500
cool,Emerald Lagoon,1,0.1000,0.6000,0.4000
cool,Emerald Lagoon,2,0.2000,0.8000,0.7000
cool,Emerald Lagoon,3,0.9000,0.9200,0.8500
cool,Emerald Lagoon,4,0.9000,0.5000,0.6000
cool,Emerald Lagoon,5,0.0000,0.2000,0.1500
cool,Emerald Lagoon,6,0.9500,0.9000,0.5000
cool,Emerald Lagoon,7,0.1000,0.2000,0.4000
cool,Emerald Lagoon,8,0.5000,0.8500,0.8000
cool,Emerald Lagoon,9,0.1000,0.1000,0.1200
cool,Emerald Lagoon,10,0.1500,0.4000,0.4500
cool,Emerald Lagoon,11,0.3000,0.7000,0.6000
cool,Frosted Berries,0,0.8000,0.1000,0.3000
cool,Frosted Berries,1,0.7000,0.0500,0.2500
cool,Frosted Berries,2,0.6000,0.0200,0.2000
cool,Frosted Berries,3,0.9000,0.4000,0.6000
cool,Frosted Berries,4,0.8500,0.3500,0.5500
cool,Frosted Berries,5,0.9500,0.5000,0.7000
cool,Frosted Berries,6,0.2000,0.3000,0.5000
cool,Frosted Berries,7,0.1000,0.2000,0.4000
cool,Frosted Berries,8,0.3000,0.4000,0.6000
cool,Frosted Berries,9,0.9500,0.9800,0.9900
cool,Frosted Berries,10,0.7000,0.7500,0.8000
cool,Frosted Berries,11,0.5000,0.5500,0.6000
cool,Glacial Lake,0,0.0500,0.1500,0.2500
cool,Glacial Lake,1,0.1000,0.2000,0.3500
cool,Glacial Lake,2,0.1500,0.2500,0.4500
cool,Glacial Lake,3,0.2000,0.3000,0.5500
cool,Glacial Lake,4,0.2500,0.3500,0.6500
cool,Glacial Lake,5,0.3000,0.4000,0.7500
cool,Glacial Lake,6,0.3500,0.4500,0.8500
cool,Glacial Lake,7,0.4000,0.5000,0.9500
